company_id,month,rank,signal_id,pillar,contribution,delta_vs_prev,value,value_fmt,direction
COMP_0001,2026-01,1,P2,P,1.24063023226,0,4.26745867537,paga a proveedores 4 dias tarde,neutral
COMP_0001,2026-01,2,A3,A,1.13304545854,0,0.186633219096,flujo operativo neto +19 % de los cobros,neutral
COMP_0001,2026-01,3,A2,A,1.12180240623,0,0.156061571941,"volatilidad de cobros 0,16",neutral
COMP_0001,2026-01,4,P1,P,0.934376042217,0,0.210233347251,21 % de las facturas propias pagadas tarde,neutral
COMP_0001,2026-01,5,C1,C,0.871742971017,0,0.162893569363,16 % de las facturas de cliente cobradas tarde,neutral
COMP_0001,2026-02,1,P2,P,1.59687138597,0.356241153713,1.68025729652,paga a proveedores 2 dias tarde,better
COMP_0001,2026-02,2,A3,A,1.36083166992,0.227786211387,0.243351985731,flujo operativo neto +24 % de los cobros,better
COMP_0001,2026-02,3,A2,A,1.17932123185,0.057518825615,0.139875746248,"volatilidad de cobros 0,14",better
COMP_0001,2026-02,4,P1,P,1.14050897482,0.206132932606,0.186470800853,19 % de las facturas propias pagadas tarde,better
COMP_0001,2026-02,5,C3,C,1.05934839288,0.264127296969,0.00279887922461,cartera vencida 0 % de lo emitido,better
COMP_0001,2026-03,1,P1,P,1.89221971566,0.751710740839,0.0998152571176,10 % de las facturas propias pagadas tarde,better
COMP_0001,2026-03,2,P2,P,1.82823211527,0.231360729298,0,paga a proveedores 0 dias tarde,better
COMP_0001,2026-03,3,A3,A,1.41347379788,0.0526421279592,0.228100492275,flujo operativo neto +23 % de los cobros,better
COMP_0001,2026-03,4,A1,A,1.34920607349,0.449139939988,0.635892102806,cobros +64 % frente a 12 meses,better
COMP_0001,2026-03,5,A2,A,1.32396041238,0.144639180532,0.113159380384,"volatilidad de cobros 0,11",better
COMP_0001,2026-04,1,A1,A,1.68302960051,0.333823527025,0.681595050783,cobros +68 % frente a 12 meses,better
COMP_0001,2026-04,2,P1,P,1.60312864333,-0.289091072334,0.133141033512,13 % de las facturas propias pagadas tarde,worse
COMP_0001,2026-04,3,P2,P,1.3610615233,-0.467170591965,3.39282642414,paga a proveedores 3 dias tarde,worse
COMP_0001,2026-04,4,A3,A,1.34360847365,-0.0698653242342,0.20415008161,flujo operativo neto +20 % de los cobros,worse
COMP_0001,2026-04,5,P3,P,1.29201157545,-0.0168411139723,0.000224999452833,deuda comercial vencida 0 % de lo recibido,neutral
COMP_0001,2026-05,1,A1,A,1.81440398005,0.131374379536,0.666729052318,cobros +67 % frente a 12 meses,better
COMP_0001,2026-05,2,P1,P,1.68397557389,0.0808469305631,0.123821179016,12 % de las facturas propias pagadas tarde,better
COMP_0001,2026-05,3,A2,A,1.59244502842,0.30472129452,0.0742206428294,"volatilidad de cobros 0,07",better
COMP_0001,2026-05,4,A3,A,1.36639863677,0.0227901631175,0.218523065093,flujo operativo neto +22 % de los cobros,neutral
COMP_0001,2026-05,5,P2,P,1.26834726375,-0.0927142595585,4.06616373419,paga a proveedores 4 dias tarde,worse
COMP_0001,2026-06,1,A2,A,1.43649329724,-0.155951731182,0.134838001026,"volatilidad de cobros 0,13",worse
COMP_0001,2026-06,2,A3,A,1.32030336027,-0.0460952764909,0.204207965939,flujo operativo neto +20 % de los cobros,neutral
COMP_0001,2026-06,3,A1,A,1.2798560409,-0.534547939149,0.41563869319,cobros +42 % frente a 12 meses,worse
COMP_0001,2026-06,4,P1,P,1.01892783931,-0.665047734579,0.200486403975,20 % de las facturas propias pagadas tarde,worse
COMP_0001,2026-06,5,P2,P,0.928968687473,-0.339378576273,6.53090064437,paga a proveedores 7 dias tarde,worse
COMP_0001,2026-07,1,P1,P,1.92134294993,0.902415110613,0.09645799539,10 % de las facturas propias pagadas tarde,better
COMP_0001,2026-07,2,A2,A,1.73098259571,0.294489298474,0.0673308621089,"volatilidad de cobros 0,07",better
COMP_0001,2026-07,3,A3,A,1.5509813915,0.230678031223,0.267385657637,flujo operativo neto +27 % de los cobros,better
COMP_0001,2026-07,4,L1,L,-1.29751792113,-0.375455363161,17.6072251032,18 dias de colchon de caja,worse
COMP_0001,2026-07,5,P2,P,1.19463685214,0.265668164665,4.60148559849,paga a proveedores 5 dias tarde,better
COMP_0001,2026-08,1,P1,P,2.14029741418,0.218954464252,0.0712174113165,7 % de las facturas propias pagadas tarde,better
COMP_0001,2026-08,2,A2,A,1.95027717504,0.219294579328,0.0595929561952,"volatilidad de cobros 0,06",better
COMP_0001,2026-08,3,L4,L,1.71865350227,1.51674553413,6,"6,0 meses de runway",better
COMP_0001,2026-08,4,C1,C,1.48215509066,0.762729845001,0.050306445073,5 % de las facturas de cliente cobradas tarde,better
COMP_0001,2026-08,5,P2,P,1.44829860711,0.25366175497,2.75926710302,paga a proveedores 3 dias tarde,better
COMP_0002,2024-09,1,A2,A,-3.15132812096,0,0.948850751643,"volatilidad de cobros 0,95",neutral
COMP_0002,2024-09,2,A3,A,-2.90199070994,0,-0.132382497286,flujo operativo neto -13 % de los cobros,neutral
COMP_0002,2024-09,3,L1,L,-2.22921521116,0,19.7145755669,20 dias de colchon de caja,neutral
COMP_0002,2024-09,4,A1,A,-2.0129166807,0,0.00724978220104,cobros +1 % frente a 12 meses,neutral
COMP_0002,2024-09,5,L3,L,-1.03608249402,0,3.22729377151,3 dias en negativo,neutral
COMP_0002,2024-09,6,PENALTY,A,-3.98789912539,0,0.370242017492,"pilar mas debil Actividad y estabilidad en 0,37",neutral
COMP_0002,2024-10,1,A3,A,-2.96849854677,-0.0665078368339,-0.140895500401,flujo operativo neto -14 % de los cobros,worse
COMP_0002,2024-10,2,A2,A,-2.39071485375,0.760613267212,0.631779365495,"volatilidad de cobros 0,63",better
COMP_0002,2024-10,3,A1,A,-2.2730873143,-0.260170633596,-0.0580218263556,cobros -6 % frente a 12 meses,worse
COMP_0002,2024-10,4,L1,L,-1.81006052698,0.419154684182,22.8674467518,23 dias de colchon de caja,better
COMP_0002,2024-10,5,L3,L,-1.34392782092,-0.307845326895,3.30902100496,3 dias en negativo,worse
COMP_0002,2024-10,6,PENALTY,A,-3.51712030504,0.470778820348,0.379657593899,"pilar mas debil Actividad y estabilidad en 0,38",better
COMP_0002,2024-11,1,A3,A,-3.46737145551,-0.498872908737,-0.200494731162,flujo operativo neto -20 % de los cobros,worse
COMP_0002,2024-11,2,A2,A,-3.3384922833,-0.947777429555,1.22770269237,"volatilidad de cobros 1,23",worse
COMP_0002,2024-11,3,A1,A,-2.74145955719,-0.468372242892,-0.142891250374,cobros -14 % frente a 12 meses,worse
COMP_0002,2024-11,4,L3,L,1.36883244506,2.71276026598,0.691625042983,1 dias en negativo,better
COMP_0002,2024-11,5,A4,A,-1.31092278721,-0.479877591158,0.702740520025,"actividad 0,70 veces la media de 12 meses",worse
COMP_0002,2024-11,6,PENALTY,A,-6.86998054632,-3.35286024128,0.312600389074,"pilar mas debil Actividad y estabilidad en 0,31",worse
COMP_0002,2024-12,1,A3,A,-2.76970405625,0.69766739926,-0.0758096775469,flujo operativo neto -8 % de los cobros,better
COMP_0002,2024-12,2,A1,A,-2.54027143525,0.20118812194,-0.0336645601933,cobros -3 % frente a 12 meses,better
COMP_0002,2024-12,3,A2,A,-2.22123486326,1.11725742004,0.537302111709,"volatilidad de cobros 0,54",better
COMP_0002,2024-12,4,D4,D,-1.99534346962,-1.28854156721,0.033352939069,"comisiones e intereses 3,34 % de los pagos",worse
COMP_0002,2024-12,5,A4,A,-1.32441658802,-0.013493800807,0.844766820746,"actividad 0,84 veces la media de 12 meses",neutral
