company_id,month,month_index,months_hist,warmup,branch,pillar_L,pillar_P,pillar_C,pillar_D,pillar_A,weight_L,weight_P,weight_C,weight_D,weight_A,level,penalty,cap_code,cap,score,band,delta_1m,delta_3m,delta_6m,slope_3m,slope_6m,z_own,breadth,run,p_change,level_shift,regime,outlook_3m,outlook_6m,outlook_low,outlook_high,outlook_label,confidence,strength_flags,base
COMP_0001,2026-01,1,8,True,no_debt,0.696872486299,0.673218438358,0.955132947211,0.783076802784,0.734949813075,0.301204819277,0.240963855422,0.180722891566,0.0361445783133,0.240963855422,75.0137371116,0,,100,75.0137371116,healthy,,,,0,0,,,0,0,,warmup,75.0137371116,75.0137371116,65.6076964993,84.4197777239,stable,0.332,GROWTH_NO_DSO,62.806785959
COMP_0001,2026-02,2,8,True,no_debt,0.691717102204,0.673311237383,0.948776444355,0.775666959226,0.734909409229,0.301204819277,0.240963855422,0.180722891566,0.0361445783133,0.240963855422,74.7180578679,0,,100,74.7180578679,healthy,-0.295679243745,,,0,0,,,0,0,,warmup,74.7180578679,74.7180578679,65.3120172556,84.1240984802,stable,0.332,GROWTH_NO_DSO,62.806785959
COMP_0001,2026-03,3,8,True,no_debt,0.719399751985,0.705914819507,0.966591428686,0.819542114205,0.75105784353,0.301204819277,0.240963855422,0.180722891566,0.0361445783133,0.240963855422,77.2071624497,0,,100,77.2071624497,healthy,2.48910458185,,,1.09671266905,1.09671266905,,,0,0,,warmup,80.0037797558,82.8003970619,73.3943564496,92.2064376742,positive,0.332,GROWTH_NO_DSO,62.806785959
COMP_0001,2026-04,4,8,False,no_debt,0.700084148817,0.67359029893,0.944058880571,0.778883272008,0.736709876985,0.301204819277,0.240963855422,0.180722891566,0.0361445783133,0.240963855422,74.9465545341,0,,100,74.9465545341,healthy,-2.26060791563,-0.0671825775207,,0.114248333112,0.0459270703027,,47.8260869565,-1,0,,stable,72.0164531231,72.1335671524,62.7275265401,81.5396077646,negative,0.332,,62.806785959
COMP_0001,2026-05,5,8,False,no_debt,0.713750028648,0.691255317359,0.954344771805,0.797325269539,0.7398422244,0.301204819277,0.240963855422,0.180722891566,0.0361445783133,0.240963855422,76.1118661892,0,,100,76.1118661892,healthy,1.1653116551,1.39380832133,,-0.547648130261,0.194390301254,,63.0434782609,1,0,,stable,76.8291561907,77.3248514589,67.9188108466,86.7308920712,stable,0.332,GROWTH_NO_DSO,62.806785959
COMP_0001,2026-06,6,8,False,no_debt,0.685684384466,0.64348848541,0.923221187585,0.740096563197,0.706022805058,0.301204819277,0.240963855422,0.180722891566,0.0361445783133,0.240963855422,72.5312565354,0,,100,72.5312565354,healthy,-3.58060965381,-4.67590591433,,-1.20764899935,-0.295679243745,,8.69565217391,-1,0,,stable,60.3950651397,59.6410830682,50.2350424559,69.0471236805,negative,0.581,,62.806785959
COMP_0001,2026-07,7,8,False,no_debt,0.700709392779,0.662603234556,0.946505510588,0.776793589827,0.715120481366,0.301204819277,0.240963855422,0.180722891566,0.0361445783133,0.240963855422,74.217075381,0,,100,74.217075381,healthy,1.68581884558,-0.729479153122,-0.796661730643,-0.947395404113,-0.546700333119,-0.305228176753,43.4782608696,-2,0,,stable,71.0037186771,69.6096328276,60.2035922153,79.0156734399,negative,0.581,GROWTH_NO_DSO,62.806785959
COMP_0001,2026-08,8,8,False,no_debt,0.726238997856,0.700642016561,0.963294863635,0.80823968456,0.736897874618,0.301204819277,0.240963855422,0.180722891566,0.0361445783133,0.240963855422,76.8444756364,0,,100,76.8444756364,healthy,2.62740025538,0.732609447151,2.12641776848,2.15660955048,-0.243159717707,0.759168440902,56.5217391304,1,0.0627377096284,,stable,79.0250240279,78.4049667478,68.9989261355,87.81100736,stable,0.581,GROWTH_NO_DSO,62.806785959
COMP_0002,2024-09,1,8,True,no_invoices_no_debt,0.455963100407,0.469748137923,,0.392360781234,0.466334942109,0.502232142857,0.0803571428571,0,0.0602678571429,0.357142857143,42.8122270947,2.88196093831,,100,42.8122270947,watch,,,,0,0,,,0,0,,warmup,42.8122270947,42.8122270947,33.4061864824,52.2182677069,watch,0.199111111111,,61.232774496
COMP_0002,2024-10,2,8,True,no_invoices_no_debt,0.455508150271,0.470190299848,,0.407571822054,0.465522387411,0.502232142857,0.0803571428571,0,0.0602678571429,0.357142857143,43.6161370372,2.12140889729,,100,43.6161370372,watch,0.803909942581,,,0,0,,,0,0,,warmup,43.6161370372,43.6161370372,34.210096425,53.0221776495,watch,0.199111111111,,61.232774496
